Screen,Key (PLEASE DON'T CHANGE),Description,en_GB translation,en_GB translation - NEW VERSION,Comments
Help/Privacy consent Copy,help.privacy_policy.content,The whole Privacy consent (Right now this is in html),"<div class=\""iubenda_legal_document\""><p>This Application collects some Personal Data from its Users.</p><h2>Owner and Data Controller</h2><p>Urban Fresh Foods Limited<br/>Second Floor<br/>45 Grosvenor Road<br/>St Albans<br/>England<br/>AL1 3AW</p><p><strong>Owner contact email:</strong> bear.uk@bearsnacks.com</p><h2 id=\""types_of_data\"">Types of Data collected</h2><p>Among the types of Personal Data that this Application collects, by itself or through third parties, there are: Usage Data.</p><p>Complete details on each type of Personal Data collected are provided in the dedicated sections of this privacy policy or by specific explanation texts displayed prior to the Data collection.<br />Personal Data may be freely provided by the User, or, in case of Usage Data, collected automatically when using this Application.<br />Unless specified otherwise, all Data requested by this Application is mandatory and failure to provide this Data may make it impossible for this Application to provide its services. In cases where this Application specifically states that some Data is not mandatory, Users are free not to communicate this Data without consequences to the availability or the functioning of the Service.<br />Users who are uncertain about which Personal Data is mandatory are welcome to contact the Owner.<br />Any use of Cookies ‚- or of other tracking tools ‚- by this Application or by the owners of third-party services used by this Application serves the purpose of providing the Service required by the User, in addition to any other purposes described in the present document and in the Cookie Policy, if available.</p><p>Users are responsible for any third-party Personal Data obtained, published or shared through this Application and confirm that they have the third party's consent to provide the Data to the Owner.</p><h2 id=\""place_of_processing\"">Mode and place of processing the Data</h2><h3 class=\""iub-subheading iub-subheading-legal-mode-processing\"">Methods of processing</h3><p>The Owner takes appropriate security measures to prevent unauthorised access, disclosure, modification, or unauthorised destruction of the Data.<br />The Data processing is carried out using computers and/or IT enabled tools, following organisational procedures and modes strictly related to the purposes indicated. In addition to the Owner, in some cases, the Data may be accessible to certain types of persons in charge, involved with the operation of this Application (administration, sales, marketing, legal, system administration) or external parties (such as third-party technical service providers, mail carriers, hosting providers, IT companies, communications agencies) appointed, if necessary, as Data Processors by the Owner. The updated list of these parties may be requested from the Owner at any time.</p><h3 class=\""iub-subheading iub-subheading-legal-basis-of-processing\"">Legal basis of processing</h3><p>The Owner may process Personal Data relating to Users if one of the following applies:</p><ul><li>Users have given their consent for one or more specific purposes. Note: Under some legislations the Owner may be allowed to process Personal Data until the User objects to such processing (‚\""opt-out‚\""), without having to rely on consent or any other of the following legal bases. This, however, does not apply, whenever the processing of Personal Data is subject to European data protection law;</li><li>provision of Data is necessary for the performance of an agreement with the User and/or for any pre-contractual obligations thereof;</li><li>processing is necessary for compliance with a legal obligation to which the Owner is subject;</li><li>processing is related to a task that is carried out in the public interest or in the exercise of official authority vested in the Owner;</li><li>processing is necessary for the purposes of the legitimate interests pursued by the Owner or by a third party.</li></ul><p>In any case, the Owner will gladly help to clarify the specific legal basis that applies to the processing, and in particular whether the provision of Personal Data is a statutory or contractual requirement, or a requirement necessary to enter into a contract. </p><h3 class=\""iub-subheading iub-subheading-legal-place\"">Place</h3><p>The Data is processed at the Owner's operating offices and in any other places where the parties involved in the processing are located.<br /><br />Depending on the User's location, data transfers may involve transferring the User's Data to a country other than their own. To find out more about the place of processing of such transferred Data, Users can check the section containing details about the processing of Personal Data.</p><p>Users are also entitled to learn about the legal basis of Data transfers to a country outside the European Union or to any international organisation governed by public international law or set up by two or more countries, such as the UN, and about the security measures taken by the Owner to safeguard their Data.<br /><br />If any such transfer takes place, Users can find out more by checking the relevant sections of this document or enquire with the Owner using the information provided in the contact section.</p><h3 class=\""iub-subheading iub-subheading-legal-time\"">Retention time</h3><p>Personal Data shall be processed and stored for as long as required by the purpose they have been collected for.</p><p>Therefore:</p><ul><li>Personal Data collected for purposes related to the performance of a contract between the Owner and the User shall be retained until such contract has been fully performed.</li><li>Personal Data collected for the purposes of the Owner‚\"" legitimate interests shall be retained as long as needed to fulfill such purposes. Users may find specific information regarding the legitimate interests pursued by the Owner within the relevant sections of this document or by contacting the Owner.</li></ul><p>The Owner may be allowed to retain Personal Data for a longer period whenever the User has given consent to such processing, as long as such consent is not withdrawn. Furthermore, the Owner may be obliged to retain Personal Data for a longer period whenever required to do so for the performance of a legal obligation or upon order of an authority.<br /><br />Once the retention period expires, Personal Data shall be deleted. Therefore, the right of access, the right to erasure, the right to rectification and the right to data portability cannot be enforced after expiration of the retention period.</p><h2 id=\""use_collected_data\"">The purposes of processing</h2><p>The Data concerning the User is collected to allow the Owner to provide its Service, comply with its legal obligations, respond to enforcement requests, protect its rights and interests (or those of its Users or third parties), detect any malicious or fraudulent activity, as well as the following: Hosting and backend infrastructure and Platform services and hosting.</p><p>For specific information about the Personal Data used for each purpose, the User may refer to the section ‚\""Detailed information on the processing of Personal Data‚\"".</p><h2 id=\""data_processing_detailed_info\"">Detailed information on the processing of Personal Data</h2><p>Personal Data is collected for the following purposes and using the following services:</p><h3 class=\""iub-purpose iub-purpose-10740814\"">Hosting and backend infrastructure</h3><p>This type of service has the purpose of hosting Data and files that enable this Application to run and be distributed as well as to provide a ready-made infrastructure to run specific features or parts of this Application.</p><p>Some services among those listed below, if any, may work through geographically distributed servers, making it difficult to determine the actual location where the Personal Data are stored.</p><h4 class=\""iub-service iub-service-9169537\"">Amazon Web Services (AWS) (Amazon Web Services, Inc.)</h4><p>Amazon Web Services (AWS) is a hosting and backend service provided by Amazon Web Services, Inc.</p><p>Personal Data processed: various types of Data as specified in the privacy policy of the service.</p><p>Place of processing: United Kingdom &ndash; <a href=\""https://aws.amazon.com/compliance/data-privacy-faq/\"" target=\""_blank\"" rel=\""noopener noreferrer\"">Privacy Policy</a>. </p><h4 class=\""iub-service iub-service-9169600\"">Firebase Cloud Functions (Google Ireland Limited)</h4><p>Firebase Cloud Functions is a hosting and backend service provided by Google Ireland Limited.</p><p>Personal Data processed: Usage Data; various types of Data as specified in the privacy policy of the service.</p><p>Place of processing: Ireland &ndash; <a href=\""https://policies.google.com/privacy\"" target=\""_blank\"" rel=\""noopener noreferrer\"">Privacy Policy</a>. </p><h3 class=\""iub-purpose iub-purpose-10740815\"">Platform services and hosting</h3><p>These services have the purpose of hosting and running key components of this Application, therefore allowing the provision of this Application from within a unified platform. Such platforms provide a wide range of tools to the Owner ‚- e.g. analytics, user registration, commenting, database management, e-commerce, payment processing ‚- that imply the collection and handling of Personal Data. <br/>Some of these services work through geographically distributed servers, making it difficult to determine the actual location where the Personal Data are stored.</p><h4 class=\""iub-service iub-service-9169538\"">App Store Connect (Apple Inc.)</h4><p>This Application is distributed on Apple's App Store, a platform for the distribution of mobile apps, provided by Apple Inc.</p><p>App Store Connect enables the Owner to manage this Application on Apple's App Store. Depending on the configuration, App Store Connect provides the Owner with analytics data on user engagement and app discovery, marketing campaigns, sales, in-app purchases, and payments to measure the performance of this Application. App Store Connect only collects such data from Users who have agreed to share them with the Owner. Users may find more information on how to opt out via their device settings <a href=\""https://support.apple.com/en-gb/HT202100\"">here</a>.</p><p>Personal Data processed: Usage Data.</p><p>Place of processing: United States &ndash; <a href=\""https://www.apple.com/legal/privacy/\"" target=\""_blank\"" rel=\""noopener noreferrer\"">Privacy Policy</a>.</p><h4 class=\""iub-service iub-service-9169598\"">Google Play Store (Google Ireland Limited)</h4><p>This Application is distributed on the Google Play Store, a platform for the distribution of mobile apps, provided by Google Ireland Limited.</p><p>By virtue of being distributed via this app store, Google collects usage and diagnostics data and share aggregate information with the Owner. Much of this information is processed on an opt-in basis.</p><p>Users may opt-out of this analytics feature directly through their device settings. More information on how to manage analysis settings can be found on <a href=\""https://support.google.com/accounts/answer/6078260\"">this page</a>.</p><p>Personal Data processed: Usage Data.</p><p>Place of processing: Ireland &ndash; <a href=\""https://policies.google.com/privacy\"" target=\""_blank\"" rel=\""noopener noreferrer\"">Privacy Policy</a>.</p><h2 id=\""rights_subjects\"">The rights of Users</h2><p>Users may exercise certain rights regarding their Data processed by the Owner.</p><p>In particular, Users have the right to do the following:</p><ul><li><strong>Withdraw their consent at any time.</strong> Users have the right to withdraw consent where they have previously given their consent to the processing of their Personal Data.</li><li><strong>Object to processing of their Data.</strong> Users have the right to object to the processing of their Data if the processing is carried out on a legal basis other than consent. Further details are provided in the dedicated section below.</li><li><strong>Access their Data.</strong> Users have the right to learn if Data is being processed by the Owner, obtain disclosure regarding certain aspects of the processing and obtain a copy of the Data undergoing processing.</li><li><strong>Verify and seek rectification.</strong> Users have the right to verify the accuracy of their Data and ask for it to be updated or corrected.</li><li><strong>Restrict the processing of their Data.</strong> Users have the right, under certain circumstances, to restrict the processing of their Data. In this case, the Owner will not process their Data for any purpose other than storing it.</li><li><strong>Have their Personal Data deleted or otherwise removed.</strong> Users have the right, under certain circumstances, to obtain the erasure of their Data from the Owner.</li><li><strong>Receive their Data and have it transferred to another controller.</strong> Users have the right to receive their Data in a structured, commonly used and machine readable format and, if technically feasible, to have it transmitted to another controller without any hindrance. This provision is applicable provided that the Data is processed by automated means and that the processing is based on the User's consent, on a contract which the User is part of or on pre-contractual obligations thereof.</li><li><strong>Lodge a complaint.</strong> Users have the right to bring a claim before their competent data protection authority.</li></ul><h3 class=\""iub-subheading iub-subheading-legal-right-to-object\"">Details about the right to object to processing</h3><p>Where Personal Data is processed for a public interest, in the exercise of an official authority vested in the Owner or for the purposes of the legitimate interests pursued by the Owner, Users may object to such processing by providing a ground related to their particular situation to justify the objection.</p><p>Users must know that, however, should their Personal Data be processed for direct marketing purposes, they can object to that processing at any time without providing any justification. To learn, whether the Owner is processing Personal Data for direct marketing purposes, Users may refer to the relevant sections of this document. </p><h3 class=\""iub-subheading iub-subheading-legal-how-to-exercise\"">How to exercise these rights</h3><p>Any requests to exercise User rights can be directed to the Owner through the contact details provided in this document. These requests can be exercised free of charge and will be addressed by the Owner as early as possible and always within one month.</p><h2 id=\""further_data_processing_info\"">Additional information about Data collection and processing</h2><h3 class=\""iub-subheading iub-subheading-legal-protection\"">Legal action</h3><p>The User's Personal Data may be used for legal purposes by the Owner in Court or in the stages leading to possible legal action arising from improper use of this Application or the related Services.<br />The User declares to be aware that the Owner may be required to reveal personal data upon request of public authorities.</p><h3 class=\""iub-subheading iub-subheading-legal-specific-info\"">Additional information about User's Personal Data</h3><p>In addition to the information contained in this privacy policy, this Application may provide the User with additional and contextual information concerning particular Services or the collection and processing of Personal Data upon request.</p><h3 class=\""iub-subheading iub-subheading-legal-maintenance\"">System logs and maintenance</h3><p>For operation and maintenance purposes, this Application and any third-party services may collect files that record interaction with this Application (System logs) or use other Personal Data (such as the IP Address) for this purpose.</p><h3 class=\""iub-subheading iub-subheading-legal-information-not-contained\"">Information not contained in this policy</h3><p>More details concerning the collection or processing of Personal Data may be requested from the Owner at any time. Please see the contact information at the beginning of this document.</p><h3 class=\""iub-subheading iub-subheading-legal-how-do-not-track\"">How ‚\""Do Not Track‚\"" requests are handled</h3><p>This Application does not support ‚Do Not Track‚\"" requests.<br />To determine whether any of the third-party services it uses honour the ‚\""Do Not Track‚\"" requests, please read their privacy policies.</p><h3>Changes to this privacy policy</h3><p>The Owner reserves the right to make changes to this privacy policy at any time by notifying its Users on this page and possibly within this Application and/or - as far as technically and legally feasible - sending a notice to Users via any contact information available to the Owner. It is strongly recommended to check this page often, referring to the date of the last modification listed at the bottom. <br /><br />Should the changes affect processing activities performed on the basis of the User‚\"" consent, the Owner shall collect new consent from the User, where required.</p><h3 id=\""definitions_and_legal_references\"">Definitions and legal references</h3><h4>Personal Data (or Data)</h4><p>Any information that directly, indirectly, or in connection with other information ‚Äî including a personal identification number ‚Äî allows for the identification or identifiability of a natural person.</p><h4>Usage Data</h4><p>Information collected automatically through this Application (or third-party services employed in this Application), which can include: the IP addresses or domain names of the computers utilised by the Users who use this Application, the URI addresses (Uniform Resource Identifier), the time of the request, the method utilised to submit the request to the server, the size of the file received in response, the numerical code indicating the status of the server's answer (successful outcome, error, etc.), the country of origin, the features of the browser and the operating system utilised by the User, the various time details per visit (e.g., the time spent on each page within the Application) and the details about the path followed within the Application with special reference to the sequence of pages visited, and other parameters about the device operating system and/or the User's IT environment.</p><h4>User</h4><p>The individual using this Application who, unless otherwise specified, coincides with the Data Subject.</p><h4>Data Subject</h4><p>The natural person to whom the Personal Data refers.</p><h4>Data Processor (or Data Supervisor)</h4><p>The natural or legal person, public authority, agency or other body which processes Personal Data on behalf of the Controller, as described in this privacy policy.</p><h4>Data Controller (or Owner)</h4><p>The natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of Personal Data, including the security measures concerning the operation and use of this Application. The Data Controller, unless otherwise specified, is the Owner of this Application.</p><h4>This Application</h4><p>The means by which the Personal Data of the User is collected and processed.</p><h4>Service</h4><p>The service provided by this Application as described in the relative terms (if available) and on this site/application.</p><h4>European Union (or EU)</h4><p>Unless otherwise specified, all references made within this document to the European Union include all current member states to the European Union and the European Economic Area.</p><h4>Legal information</h4><p>This privacy statement has been prepared based on provisions of multiple legislations, including Art. 13/14 of Regulation (EU) 2016/679 (General Data Protection Regulation).</p><p>This privacy policy relates solely to this Application, if not stated otherwise within this document.</p><p>Latest update: 10 February 2023</p></div>","<div class=""iubenda_legal_document""><h1>Privacy Policy &amp; Terms of Use</h1><h2>Privacy Policy</h2><p>We are BEAR, and we care about your privacy.</p><p>This privacy policy includes two sections addressed at respectively:</p><ul><li>Children: a simple explanation on how your privacy is protected in this app.</li><li>Parents/legal guardians or adults in general: the full legal privacy policy, which contains all details required under applicable data protection laws.</li></ul><h2>1. For children</h2><p>We do not ask any personal information (name, email, phone number, etc.) from you to use the app. When you create your profile, we ask you to choose a fun name for your BEAR. Please do not use your real name.</p><p>The app uses small helpers only to help us see how the app is used, tell us what works well and what doesn’t, help us fix bugs and make the app better. These helpers do not tell us who you are and are not used to identify you. For example, we do not know your real name or contact details.</p><p>Because this app might be used by children, we ask a parent or guardian for permission before using these optional helpers. When you open the app for the first time, please ask your parent or guardian to make this choice. They can say yes or no, and you can change your choice at any time in the app settings. You are always in control.</p><p>Your parents or legal guardians can find full legal information below.</p><h2>2. For parents/legal guardians or adults in general</h2><h3>a. General</h3><p>For Bear, it goes without saying that all personal information is treated confidentially, taking into account all relevant provisions of the applicable privacy legislation.</p><p>In this Policy we describe how and why we collect personal data, what we do with the personal data, with whom we share it, how we protect it, and the choices you can make about your personal data.</p><h3>b. Who is responsible for the processing of your personal data?</h3><p>The legal entity which is responsible for the processing of your personal data and who will act as data controller is: Lotus Bakeries Corporate NV, Gentstraat 1, 9971 Lembeke, Belgium.</p><h3>c. How and on which legal grounds will we process your personal data?</h3><p>This app has been designed to limit the processing of personal data to the minimum. We do not ask any personal information (name, email, phone number, etc.) from children or their parents/guardians to use the app. Upon creating the profile, the user is asked to choose a fun name for their BEAR and reminded not to use their real name.</p><p>Only if you want to contact us or report an issue about the app, the contact form will ask for your name, email address and a message/description of the concerns. The processing of the data is exclusively for processing your concern, complaint or issue. Your data will be stored for as long as necessary to treat your request, and thereafter retained in Zendesk (software used for customer service) for maximum 13 months. In exceptional circumstances, and only for the establishment, exercise or defense of legal claims following complaints, the data may be archived for 5 years. Where necessary to investigate and respond to your request, your data may be disclosed to another affiliate of Lotus. You can find our affiliates on our corporate website (<a href=""https://www.lotusbakeries.com"">www.lotusbakeries.com</a>). For transfer to our affiliates we provide appropriate safeguards. This processing activity is based on our legitimate interest in handling customer inquiries and improving our customer service.</p><h3>d. Protection of your personal data</h3><p>We have a set of technical and organizational security measures in place to protect your personal data against unlawful or unauthorized access or use, as well as against accidental loss or damage to their integrity. These measures have been designed taking into account our IT infrastructure, the potential impact on your privacy and the costs involved and are in accordance with current industry standards and practice.</p><h3>e. Use of app data and analytics technologies</h3><p>The app does not use cookies. Instead, profiles and collected cards are stored locally within the app on your device. This is a technical feature of mobile applications and does not involve cookies or similar tracking technologies. This data is automatically deleted when you delete the app from your device.</p><p>The app uses Google Firebase, which is linked to a Google Analytics account. These tools are used to understand how the app is used, monitor its performance and detect technical issues.</p><p>When enabled, these services automatically collect certain technical and usage data, including device information (such as device model, operating system version, CPU architecture, RAM and storage), network information (such as carrier and connection type, e.g. WiFi or 4G, and approximate location based on IP address), app usage data (such as session duration, app version, screen views and user interactions), and performance data (such as response times, network requests and crash reports). Additionally, Firebase creates an anonymous user identifier (Firebase Installation ID) upon first launch of the app. This identifier enables recognition of a device across sessions without directly identifying the user (for example by name or email address). The app does not request directly identifiable personal data.</p><p>The use of these analytics technologies is subject to prior consent via the in app consent mechanism. These technologies are only activated after such consent has been obtained and can be withdrawn at any time via the app settings.</p><p>Where data is transferred outside the EEA/Switzerland in connection with these services, appropriate safeguards such as standard contractual clauses are implemented.</p><h3>f. International transfers</h3><p>Some limited technical and anonymous data may be processed by service providers located outside the European Economic Area. Where this is the case, appropriate safeguards are applied, such as the European Commission’s Standard Contractual Clauses or equivalent safeguards under applicable law.</p><h3>g. Rights</h3><p>Relating to your personal data you have the following rights:</p><ul><li>You can always request information about your personal data collected, stored and processed by BEAR. To receive this kind of information you need to prove your identity (for example by sending us a copy of your ID).</li><li>If your personal data stored by BEAR is incorrect, you can of course apply for a correction.</li><li>You have the right to request a restriction on the processing of your personal data (for example, while the accuracy of your personal data is being checked).</li><li>You may require us to erase any data concerning you (except in some cases, for example when we have to save your data to prove a transaction or when required by law).</li><li>In case the processing is based on your consent, you may withdraw your consent at all times without affecting the lawfulness of prior processing.</li><li>You have the right to object to processing based on legitimate interest.</li><li>You have the right to data portability, where applicable.</li><li>If you do not agree with the way BEAR is processing your personal data, you have the right to lodge a complaint with your local/national Data Protection Authority.</li></ul><h3>h. Who to contact if you have any questions or requests</h3><p>For any questions, requests or complaints concerning the processing of your data or to exercise your rights, as described in this Policy, you may contact us at <a href=""mailto:dpr.corporate@lotusbakeries.com"">dpr.corporate@lotusbakeries.com</a>.</p><h3>i. Changes to our Policy</h3><p>We keep our Policy under regular review and we will place any updates on this app. This Policy was last updated in May 2026.</p><h2>Terms of use</h2><p>This app is owned and managed by Lotus Bakeries Corporate NV, a company organised and existing under the laws of Belgium, having its registered office at Gentstraat 1, 9971 Lembeke, Belgium and registered with company number 0881.664.87. (‘Lotus Bakeries Corporate NV’; “we” or “us”).</p><p>Lotus Bakeries Corporate NV is a subsidiary of Lotus Bakeries NV, a company organized and existing under the laws of Belgium, having its registered office at Gentstraat 1, 9971 Lembeke (Belgium) and registered with company number 0401.030.860.</p><p>The information (such as texts, images, links, etc.) on this app is purely informative. Neither Lotus Bakeries Corporate NV nor any of its affiliates makes any express or implied representation or warranty as to the accuracy, content or completeness of this information. Lotus Bakeries Corporate NV reserves the right to update or modify the app at any time, as well as to delete all or part of the information.</p><p>This app is intended for personal and non-commercial purposes of the app user. The content of the app (such as layout and design, texts, graphics, photos, etc.) is protected by copyright and other intellectual property rights. The content of the app may not be reproduced or communicated without prior and written permission of Lotus Bakeries Corporate NV. All trademarks and tradenames displayed on the app are owned by Lotus Bakeries NV and/or affiliates.</p><p>To the extent permitted by law, Lotus Bakeries Corporate NV, including its affiliates, officers and employees, hereby exclude all liability for any damage whatsoever, direct and/or indirect, arising in any way from and/or resulting from the use of the app or any other site linked to the app, including but not limited to any damage whatsoever arising in any way from and/or resulting from:</p><ul><li>actions performed by you that may have been prompted by the information posted on the app;</li><li>the inability to use the app;</li><li>technical issues, interruptions or data loss;</li><li>incorrect or incomplete information.</li></ul><p>This app may contain links to external websites. Lotus Bakeries Corporate NV is not responsible for the content or availability of such websites.</p><p>Lotus Bakeries Corporate NV reserves the right to update or modify these Terms of Use at any time. The latest version will always be available on the app.</p><p>By accessing and using this app, you agree to these Terms of Use and the Privacy Policy. These Terms of Use are governed by the laws of Belgium.</p></div>",
Help/Privacy consent flow,help.privacy_policy.first_time.button,Agree terms and conditions ,Confirm,Confirm,
,help.privacy_policy.first_time.confirm,,I agree to the terms and conditions,I agree to the terms and conditions,
,help.privacy_policy.first_time.subtitle,,Before you start,Before you start,
,help.privacy_policy.subsequently.button,Done button text after reading privacy policy,Done,Done,
,help.privacy_policy.subsequently.subtitle,Title and subtitle privacy policy,Review the,Review the,
,help.privacy_policy.title,,PRIVACY\nPOLICY,PRIVACY\nPOLICY,
Help/Report form flow,help.report.button,Button title on help screen,Report Issue,Report Issue,
,help.report.hint_name,,Your name...,Your name...,
,help.report.hint_email,,Your email address...,Your email address...,
,help.report.hint_description,,Description...,Description...,
,help.report.hint_details,,What you,What you,
,help.report.field_name,,Name,,
,help.report.field_email,,Email,,
,help.report.field_description,,Description,,
,help.report.field_details,,Details,,
,help.report.content,Info under title,use the form to let us know of any problems with the app,use the form to let us know of any problems with the app,
,help.report.next_button,Button texts,Next,Next,
,help.report.previous_button,,Previous,Previous,
,help.report.submit_button,,Report,Report,
,help.report.success.title,,Issue reported,,New Copy
,help.report.success.message,,your issue was successfully reported.,,New Copy
,help.report.error.unable_to_send,,unable to send report. Please check your internet connection and try again.,,New Copy
,help.report.title,Title report issue,REPORT ISSUE,REPORT ISSUE,
Help/Screen title,help.title,"Help screen title. Under this title are contact us, report issue, privacy policy and how to guide",HELP & SUPPORT,HELP & SUPPORT,
Home,home.banner.message,"Home screen UI (welcome title with cub name, bnner title/message",Tap below to explore your cards.,Tap below to explore your cards.,
,home.banner.title,,Let the adventure begin!,Let the adventure begin!,
,home.cards,,CARDS,CARDS,
,home.title,,WELCOME \n%character_name%,WELCOME \n%character_name%,
Onboarding,onboarding.welcome.button,First time onboarding/welcome,Lets get started,Lets get started,
,onboarding.welcome.content,,Lorem ipsum,Lorem ipsum,
,onboarding.welcome.subtitle,,Before you start,Before you start,
,onboarding.welcome.next_step,,Next Step,Next Step,
,onboarding.welcome.save,,Save,Save,
,onboarding.welcome.title,,GRRREETINGS CUB!,GRRRETINGS EXPLORER!,
Settings,settings.clear_data.button,Delete profile data flow,Clear Data,Clear Data,
,settings.clear_data.dialog.content,,are you sure you want to delete all app data?,are you sure you want to delete all app data?,
,settings.help.button,Settings button to help and support screen,Help,Help,
,settings.permissions.button,Permissions button to help and support screen,Permissions,Permissions,
,settings.permissions.camera_access.button,"Camera permission flow (duplicate, may be good to make these global)",Enable Camera,Enable Camera,
,settings.permissions.camera_access.disabled.content,,BEAR requires access to your camera to scan your new cards!,BEAR needs access to your camera so you can scan your new cards.,
,settings.permissions.camera_access.enabled.content,,BEAR has access to your camera so you can scan your new cards!,Camera access enabled — you’re ready to scan your new cards.,
,settings.permissions.camera_access.permanently_disabled.content,,BEAR requires access to your camera to scan your new cards!,"To scan new cards, please allow BEAR to use your camera.",
,settings.permissions.camera_access.title,,CAMERA ACCESS,CAMERA ACCESS,
,settings.permissions.done_button,End of permissions button,Finish,Finish,
,settings.permissions.finished.content,Title + content end of permissions,"your permissions are set, you can change them here at any time.",Your permissions are set. You can change them here at any time.,
,settings.permissions.finished.title,,PERMISSIONS UPDATED,PERMISSIONS UPDATED,
